county_fips,state_code,region,as_weighted_avg20062011,ba_weighted_avg20062011,be_weighted_avg20062011,cd_weighted_avg20062011,cr_weighted_avg20062011,hg_weighted_avg20062011,se_weighted_avg20062011,u_weighted_avg20002011
17027,IL,EMW,0.66,61.92,0.14,0.04,0.39,0.14,1.13,0.35
17033,IL,EMW,0.55,28.13,0.14,0.04,0.06,0.14,2.12,2.98
17037,IL,EMW,0.95,486.35,0.19,0.1,0.11,0.14,0.5,0.41
17043,IL,EMW,1.74,52.78,0.14,0.06,0.94,0.14,0.46,0.58
17061,IL,EMW,0.49,56.53,0.14,0.04,0.06,0.14,1.33,3.3
17063,IL,EMW,0.43,17.01,0.26,0.04,0.24,0.17,0.57,1
17067,IL,EMW,0.64,43.63,0.19,0.06,0.34,0.14,0.8,0.35
17071,IL,EMW,0.52,89.98,0.14,0.1,0.42,0.14,1.14,2.32
17073,IL,EMW,1.41,87.43,0.14,0.04,0.5,0.15,1.18,0.54
17077,IL,EMW,0.4,20.8,0.14,0.04,0.06,0.14,0.43,0.35
17085,IL,EMW,0.69,109.47,0.14,0.04,0.06,0.17,0.45,1.46
17089,IL,EMW,0.52,127.85,0.14,0.06,0.24,0.16,0.7,1.88
17093,IL,EMW,0.37,35.83,0.14,0.05,0.06,0.14,0.5,1.02
17095,IL,EMW,0.52,40.49,0.14,0.04,1.2,0.14,1.1,0.83
17097,IL,EMW,0.65,86.81,0.15,0.11,0.09,0.14,0.48,1.31
17099,IL,EMW,0.84,61.75,0.14,0.04,0.52,0.14,0.91,1
17103,IL,EMW,4.44,108.59,0.14,0.06,13.16,0.14,0.48,0.55
17109,IL,EMW,2.22,34.25,1.38,0.81,1.12,0.14,2.81,0.35
17131,IL,EMW,0.64,98.48,0.19,0.04,0.37,0.14,0.8,0.93
17141,IL,EMW,0.93,211.76,0.14,0.11,0.11,0.14,0.45,1.28
17143,IL,EMW,1.23,135.28,0.14,0.04,0.53,0.14,3.18,1.61
17155,IL,EMW,2.72,110.34,0.14,0.04,1.84,0.14,1.41,0.64
17175,IL,EMW,1.19,5.96,0.14,0.04,2.89,0.14,4.14,0.37
17187,IL,EMW,0.43,8.78,0.14,0.04,0.36,0.14,1.63,0.97
17197,IL,EMW,1.75,39.52,0.14,0.08,0.1,0.14,0.61,1.98
17201,IL,EMW,0.73,177.39,0.14,0.05,0.46,0.14,0.67,2.28
18013,IN,EMW,0.35,175,0.14,0.04,0.06,0.14,0.42,0.68
18023,IN,EMW,1.12,307.14,0.14,0.04,0.13,0.11,0.42,0.35
18037,IN,EMW,0.4,26.29,0.14,0.04,0.11,0.16,0.42,0.35
18039,IN,EMW,0.6,97.3,0.14,0.04,0.17,0.15,0.42,0.35
18047,IN,EMW,0.35,112.3,0.14,0.84,0.06,0.14,0.42,0.35
18049,IN,EMW,0.7,87.3,0.14,0.04,0.06,0.14,0.42,0.41
18063,IN,EMW,1.17,357.6,0.14,0.04,0.28,0.17,0.42,1.6
18073,IN,EMW,0.47,54.02,0.14,0.04,0.21,0.14,0.43,0.39
18075,IN,EMW,2.59,44.73,0.14,0.04,5.35,0.14,0.42,0.35
18077,IN,EMW,0.63,0.71,0.14,0.04,0.32,0.28,0.42,0.78
18079,IN,EMW,0.53,5.54,0.14,0.04,0.06,0.14,0.42,0.35
18081,IN,EMW,0.57,145.43,0.14,0.04,0.09,0.14,0.85,0.65
18083,IN,EMW,0.36,57.53,0.14,0.05,0.21,0.14,0.48,0.38
18085,IN,EMW,4.2,299.02,0.14,0.05,0.09,0.14,0.42,0.38
18087,IN,EMW,2.46,109.06,0.14,0.04,0.06,0.14,0.42,0.43
18089,IN,EMW,0.35,18.12,0.14,0.04,0.67,0.14,2.82,0.36
18091,IN,EMW,0.4,52.73,0.14,0.04,1.61,0.14,0.42,0.47
18093,IN,EMW,0.39,56.8,0.14,0.04,0.06,0.14,0.42,0.4
18095,IN,EMW,0.79,157.38,0.14,0.04,0.2,0.15,0.42,0.51
18097,IN,EMW,0.36,106.23,0.14,0.04,0.23,0.16,0.42,0.84
18099,IN,EMW,3.29,107.98,0.14,0.11,0.06,0.14,0.42,0.52
18101,IN,EMW,1.48,39.86,0.14,0.04,0.33,0.24,0.42,0.58
18103,IN,EMW,0.76,106.28,0.14,0.05,0.17,0.14,0.42,2.2
18105,IN,EMW,0.35,15.35,0.14,0.04,0.06,0.14,0.42,0.35
18107,IN,EMW,0.56,132.79,0.14,0.04,0.2,0.16,0.42,0.37
18109,IN,EMW,1.16,44.8,0.14,0.04,0.06,0.15,0.82,0.49
18111,IN,EMW,0.35,255.38,0.14,0.04,0.96,0.18,0.42,0.35
18113,IN,EMW,1.61,235.23,0.14,0.04,0.07,0.14,0.42,0.61
18115,IN,EMW,0.35,30.89,0.14,0.04,0.06,0.14,0.88,0.4
18119,IN,EMW,0.35,14.2,0.14,0.04,0.22,0.25,0.42,0.98
18121,IN,EMW,0.87,54.41,0.14,0.04,0.87,0.14,1.53,0.54
18123,IN,EMW,0.35,57.66,0.14,0.04,0.26,0.14,0.42,0.57
18125,IN,EMW,0.48,24.55,0.14,0.04,0.25,0.11,0.42,0.69
18127,IN,EMW,0.52,51.76,0.14,0.04,0.06,0.14,0.42,1.55
18129,IN,EMW,0.35,17.3,0.14,0.04,0.45,0.14,0.53,0.41
18131,IN,EMW,1.3,128.4,0.14,0.04,0.64,0.18,0.42,1.06
18133,IN,EMW,2.12,65.17,0.14,0.04,0.06,0.14,0.42,1.11
18135,IN,EMW,2.12,157.67,0.14,0.04,0.68,0.14,0.42,0.96
18137,IN,EMW,0.36,59.53,0.14,0.04,0.31,0.16,0.42,0.57
18139,IN,EMW,0.4,208.63,0.14,0.04,0.06,0.14,0.42,0.42
18141,IN,EMW,2.24,98.79,0.14,0.04,0.06,0.14,0.42,0.53
18143,IN,EMW,0.52,24.64,0.14,0.04,0.06,0.15,0.42,0.35
18145,IN,EMW,0.95,137.21,0.14,0.04,0.06,0.14,0.42,1.01
18147,IN,EMW,2.2,46.29,0.14,0.04,2.12,0.14,0.53,0.53
18149,IN,EMW,0.35,57.09,0.14,0.04,0.06,0.14,0.42,0.47
18151,IN,EMW,0.77,152.83,0.15,0.04,0.06,0.14,0.42,0.37
18153,IN,EMW,1.78,39.87,0.14,0.04,0.08,0.14,4.73,0.47
18155,IN,EMW,0.35,48.91,0.14,0.04,0.06,0.14,0.42,0.61
18157,IN,EMW,2,136.25,0.14,0.04,0.07,0.14,1.88,0.97
18159,IN,EMW,3.35,1158.44,0.14,3.58,7.14,0.14,0.42,1.32
18161,IN,EMW,0.81,12.38,0.14,0.04,0.06,0.11,0.42,0.8
18163,IN,EMW,0.35,34,0.14,0.04,0.06,0.14,0.95,0.35
18165,IN,EMW,1.24,104.73,0.14,0.07,1.13,0.14,1.24,1.09
18167,IN,EMW,0.35,10.91,0.14,0.04,0.17,0.14,0.48,1.07
18169,IN,EMW,2.08,168.39,0.14,0.04,0.94,0.13,0.42,0.54
18171,IN,EMW,0.35,55.93,0.14,0.04,0.06,0.13,0.42,1.67
18173,IN,EMW,0.61,88.09,0.14,0.04,0.37,0.13,0.42,0.35
18175,IN,EMW,0.35,2.98,0.14,0.04,0.73,0.16,0.42,0.35
18177,IN,EMW,0.46,75.4,0.14,0.04,0.06,0.14,1.26,1.12
18179,IN,EMW,1.07,12.38,0.14,0.04,0.06,0.14,0.42,0.84
18181,IN,EMW,1.51,137.61,0.14,0.04,0.06,0.14,0.42,0.47
18183,IN,EMW,2.25,216.5,0.14,0.04,0.06,0.14,0.42,1.9
20009,KS,CMW,1.13,54.78,0.14,0.04,3.31,0.14,5.83,16.08
20015,KS,CMW,0.73,78.05,0.14,0.04,1.07,0.14,0.99,0.35
20027,KS,CMW,2.65,81.21,0.14,0.04,1.57,0.14,25.1,23.16
20029,KS,CMW,1.53,149.63,0.14,0.04,3.63,0.14,5.11,10.88
20039,KS,CMW,9.94,121.84,0.14,0.04,4.6,0.14,13.48,45.03
20045,KS,CMW,0.61,61.65,0.14,0.04,1.02,0.14,0.76,0.64
20055,KS,CMW,1.55,21.36,0.14,0.04,1.16,0.14,9.33,23.71
20057,KS,CMW,2.76,84.13,0.14,0.04,2.25,0.19,7.12,22.48
20065,KS,CMW,8.6,151.83,0.14,0.04,2.09,0.14,6.33,17.85
20067,KS,CMW,2.02,18.26,0.14,0.04,4.45,0.14,13.28,16.15
20069,KS,CMW,2.21,47.87,0.14,0.04,2.74,0.14,4.92,13.68
20083,KS,CMW,3.27,81.77,0.14,0.04,2.89,0.14,6.67,22
20091,KS,CMW,0.83,52.06,0.14,0.04,1.6,0.14,1.88,0.35
20093,KS,CMW,1.51,29.12,0.14,0.04,1.75,0.14,7.66,33.13
20105,KS,CMW,2.65,71.21,0.14,0.04,3.35,0.14,18.53,17.78
20109,KS,CMW,3.62,145.13,0.14,0.04,1.65,0.62,5.6,12.5
20129,KS,CMW,2.13,29.56,0.14,0.04,5.04,0.14,7.17,17
20135,KS,CMW,6.63,104.81,0.14,0.04,4.02,0.14,18.37,8.7
20137,KS,CMW,5.71,194.78,0.14,0.04,4.05,0.14,10.29,22.61
20145,KS,CMW,1.47,24.44,0.14,0.04,4.31,0.14,7.16,19.77
20149,KS,CMW,2.63,146.41,0.14,0.04,2.57,0.14,3.23,16.31
20153,KS,CMW,12.69,88.7,0.14,0.04,4.44,0.14,8.91,27.92
20159,KS,CMW,2.27,152.97,0.14,0.04,1.17,0.14,12.07,28.12
20165,KS,CMW,4.96,99.56,0.14,0.04,3.16,0.14,3.11,37
20171,KS,CMW,10.82,80.17,0.14,0.04,8.27,0.14,14.91,20
20175,KS,CMW,2.17,44.65,0.14,0.04,5.26,0.14,11.12,11
20181,KS,CMW,3.45,108.84,0.14,0.04,2.31,0.14,7.81,21
20183,KS,CMW,5.39,151.26,0.14,0.04,2.23,0.14,15.09,19.75
20189,KS,CMW,1.85,21.78,0.14,0.04,5.83,0.14,8.37,13
20203,KS,CMW,5.43,56.25,0.14,0.04,2.31,0.14,10.68,19.5
20209,KS,CMW,0.43,150.74,0.14,0.04,0.16,0.14,0.55,4.8
21003,KY,SE,0.35,14.19,0.14,0.04,0.06,0.14,0.42,0.35
21005,KY,SE,0.35,15.23,0.14,0.04,0.06,0.14,0.42,0.35
21007,KY,SE,0.35,23.63,0.14,0.04,0.36,0.14,0.54,0.4
21013,KY,SE,0.35,5.75,0.14,0.04,0.22,0.14,0.42,0.35
21017,KY,SE,0.35,14.14,0.14,0.04,0.47,0.14,0.42,0.41
21021,KY,SE,0.35,12.46,0.14,0.04,0.06,0.14,0.42,0.35
21025,KY,SE,0.35,28.29,0.14,0.04,0.07,0.14,0.43,0.35
21033,KY,SE,0.35,20.67,0.14,0.04,0.06,0.14,0.42,0.62
21035,KY,SE,0.35,6.08,0.14,0.04,0.14,0.14,0.42,0.74
21041,KY,SE,0.35,13.42,0.14,0.04,0.06,0.14,0.42,0.47
21047,KY,SE,0.35,18.45,0.14,0.04,0.06,0.14,0.38,0.35
21061,KY,SE,0.35,5.14,0.14,0.04,0.06,0.14,0.61,0.35
21063,KY,SE,0.35,175,0.14,0.04,0.53,0.14,0.42,1.5
21067,KY,SE,0.46,26.67,0.14,0.04,0.06,0.14,0.42,0.66
21077,KY,SE,0.35,17.46,0.14,0.04,0.06,0.14,0.42,0.43
21079,KY,SE,0.35,34.76,0.14,0.04,0.22,0.14,0.42,0.49
21085,KY,SE,0.45,19.4,0.14,0.04,0.87,0.14,0.42,0.35
21091,KY,SE,0.35,34.11,0.14,0.05,0.55,0.14,0.8,0.38
21093,KY,SE,0.35,25.04,0.14,0.04,0.24,0.14,0.48,0.39
